abandoned_id,traveler_id,trip_id,timestamp,stage_abandoned
1,2,15,2023-02-10 14:35:22,"Payment"
2,4,7,2023-02-15 09:12:45,"Review"
3,6,11,2023-03-02 11:28:33,"Payment"
4,8,5,2023-03-11 16:42:19,"Information"
5,10,18,2023-03-22 10:05:37,"Payment"
6,12,22,2023-04-03 13:54:08,"Review"
7,14,28,2023-04-12 17:23:41,"Information"
8,16,9,2023-04-25 08:36:14,"Payment"
9,18,37,2023-05-05 12:09:27,"Information"
10,20,41,2023-05-18 15:47:56,"Payment"
11,22,16,2023-05-27 09:31:22,"Review"
12,24,25,2023-06-08 14:18:45,"Information"
13,26,13,2023-06-19 11:55:37,"Payment"
14,28,7,2023-07-02 16:42:14,"Information"
15,30,32,2023-07-15 10:27:33,"Payment"
16,32,20,2023-07-28 13:14:48,"Review"
17,34,43,2023-08-10 17:39:55,"Payment"
18,36,38,2023-08-23 08:52:11,"Information"
19,38,24,2023-09-05 12:19:37,"Payment"
20,40,9,2023-09-18 15:48:22,"Review"
21,42,12,2023-10-01 09:54:19,"Information"
22,44,21,2023-10-14 14:27:36,"Payment"
23,46,33,2023-10-27 11:08:42,"Information"
24,48,47,2023-11-09 16:35:18,"Payment"
25,50,19,2023-11-22 10:12:33,"Review"
26,52,29,2023-12-05 13:49:57,"Payment"
27,54,14,2023-12-18 17:23:05,"Information"
28,56,46,2023-12-31 08:45:41,"Payment"
29,58,35,2024-01-13 12:29:14,"Review"
30,60,17,2024-01-26 15:47:33,"Information"
31,62,42,2024-02-08 09:18:22,"Payment"
32,1,23,2024-02-21 14:35:45,"Review"
33,3,37,2024-03-05 11:52:19,"Payment"
34,5,7,2024-03-18 16:28:33,"Information"
35,7,31,2024-03-31 10:45:52,"Payment"
36,9,48,2024-04-13 13:14:27,"Review"
37,11,26,2024-04-26 17:39:48,"Payment"
38,13,40,2024-05-09 08:22:36,"Information"
39,15,16,2024-05-22 12:51:09,"Payment"
40,17,39,2024-06-04 15:28:42,"Review"
41,19,22,2024-06-17 09:54:25,"Information"
42,21,4,2024-06-30 14:17:38,"Payment"
43,23,28,2024-07-13 11:42:53,"Review"
44,25,15,2024-07-26 16:09:24,"Information"
45,27,36,2024-08-08 10:35:16,"Payment"
46,29,50,2024-08-21 13:52:41,"Review"
47,31,14,2024-09-03 17:25:09,"Payment"
48,33,6,2024-09-16 08:47:33,"Information"
49,35,19,2024-09-29 12:19:54,"Payment"
50,37,33,2024-10-12 15:38:22,"Review"
