review_id,traveler_id,trip_id,provider_id,rating,comment,review_date,is_flagged
1,1,12,,5,"The Amazon Rainforest Expedition was incredible! Our guide was knowledgeable and we saw amazing wildlife. Highly recommend for adventure seekers.",2023-06-25,0
2,3,9,,4,"The trek was challenging but rewarding. Beautiful views of the Himalayas, though accommodations were basic as expected. Great experience overall.",2023-07-20,0
3,5,8,,5,"Maldives paradise! The overwater bungalows were luxurious and the snorkeling was mind-blowing. Perfect for our honeymoon.",2023-08-28,0
4,7,2,,4,"Bali's landscapes are stunning. The trek was well-organized though quite strenuous at times. Pack good hiking boots!",2023-08-10,0
5,10,1,,5,"Absolutely worth every penny! The private tours in Paris were exceptional and the accommodations were truly luxurious.",2023-09-20,0
6,12,4,,4,"Kids loved the theme parks! Great family package though meal options could have been more diverse. Would book again.",2023-07-15,0
7,15,6,,5,"The Alps retreat exceeded our expectations. Ski conditions were perfect and the spa treatments were heavenly after a day on the slopes.",2023-09-30,0
8,18,3,,4,"Cambodia's temples were awe-inspiring. Our guide was very knowledgeable about the history and culture. Great value for the experience.",2023-08-15,0
9,20,10,,5,"The Japan tour was perfectly balanced between modern city experiences and traditional cultural activities. Food was amazing!",2023-10-25,0
10,22,7,,4,"Costa Rica's biodiversity is incredible! Eco-friendly accommodations were comfortable. Saw sloths, toucans, and much more.",2023-07-20,0
11,24,5,,4,"Rome's history comes alive with the walking tour. Our guide was passionate and knowledgeable. A bit too much walking for one day though.",2023-06-25,0
12,26,13,,5,"Fascinating journey through Egypt's history. The Nile cruise was relaxing and the ancient sites were mind-blowing.",2023-10-10,0
13,28,14,,5,"Perfect family vacation! Kids loved meeting the characters and the package included everything we needed. Magical experience!",2023-08-30,0
14,30,11,,4,"The Greek Islands are stunning! The cruise ship was comfortable though a bit crowded. Food and excursions were excellent.",2023-10-20,0
15,32,15,,5,"Loved exploring medieval Europe's charming towns and castles. Our guide's historical knowledge brought everything to life.",2023-09-28,0
16,34,17,,5,"Once-in-a-lifetime experience at the Galapagos! The focus on conservation was educational and the wildlife encounters were incredible.",2023-11-20,0
17,36,18,,4,"Beautiful beaches and clear waters. Island hopping was well organized though one of the hotels wasn't up to standard.",2023-12-28,0
18,38,16,,5,"The Monaco Grand Prix experience was unbelievable! Premium viewing position and exclusive access made it unforgettable.",2024-05-30,0
19,40,19,,5,"Reaching Everest Base Camp was a life achievement. Challenging but the guides were supportive and views were worth every step.",2024-01-30,0
20,42,20,,4,"The art and architecture tour was comprehensive and educational. Perhaps too many sites in one day at times, but overall excellent.",2023-11-05,0
21,44,21,,5,"The combination of safari and wine tasting was inspired! Luxury accommodations throughout and unforgettable wildlife sightings.",2024-02-20,0
22,46,22,,5,"Queenstown is truly the adventure capital! Tried bungee jumping, rafting, and canyon swinging. Incredible adrenaline rush!",2023-09-30,0
