trip_id,operator_id,category_id,destination_id,itinerary_id,trip_name,description,start_date,end_date,duration,price,capacity,sustainability_score,wheelchair_access
1,1,12,1,1,"Parisian Luxury Escape","Exclusive week-long experience in Paris featuring luxury accommodations and private tours","2025-05-15","2025-05-22",7,4500.00,8,"A+",0
2,2,2,2,2,"Bali Adventure Trek","Active exploration of Bali's volcanic mountains, rice terraces, and hidden waterfalls","2025-06-01","2025-06-11",10,2200.00,12,"B",0
3,3,3,22,3,"Exotic Cambodia Discovery","Cultural immersion in Cambodia's ancient temples and local communities","2025-05-20","2025-05-29",9,1800.00,10,"A",1
4,4,11,3,4,"Family Fun Orlando","Family-focused vacation package including theme parks and kid-friendly activities","2025-06-15","2025-06-21",6,3200.00,15,"B+",1
5,5,9,5,5,"Historical Rome Walking Tour","In-depth exploration of Rome's ancient ruins and historical significance","2025-05-25","2025-05-30",5,1500.00,12,"A",1
6,6,12,24,6,"Luxury Alps Retreat","Premium ski and spa experience in the Swiss Alps with exclusive accommodations","2025-07-10","2025-07-18",8,5800.00,6,"A",0
7,7,10,23,7,"Costa Rica Eco Adventure","Sustainable travel experience through Costa Rica's diverse ecosystems","2025-06-05","2025-06-17",12,2400.00,10,"A+",1
8,8,1,29,8,"Tropical Maldives Getaway","Beach relaxation package at premium overwater bungalows in the Maldives","2025-08-01","2025-08-09",8,4200.00,2,"B+",0
9,9,44,38,9,"Mountaineering in Nepal","Guided trek through the Himalayas with experienced mountain guides","2025-09-10","2025-09-24",14,3100.00,8,"B",0
10,10,5,4,10,"Urban Japan Explorer","City-hopping tour through Tokyo, Kyoto, and Osaka with cultural experiences","2025-07-05","2025-07-15",10,3400.00,12,"A",1
11,1,15,14,11,"Greek Island Luxury Cruise","Premium cruise experience through the Greek islands with gourmet dining","2025-08-15","2025-08-24",9,5100.00,20,"A",0
12,2,6,17,12,"Amazon Rainforest Expedition","Adventure deep into the Amazon with wildlife spotting and canopy tours","2025-07-20","2025-07-28",8,2800.00,10,"A+",0
13,3,9,39,13,"Ancient Egypt Uncovered","Cultural journey through Egypt's pharaonic history and monuments","2025-09-01","2025-09-12",11,2600.00,12,"B+",1
14,4,11,3,14,"Disney World Family Adventure","Comprehensive family package for all Disney parks with character dining","2025-06-25","2025-07-02",7,3600.00,16,"B",1
15,5,9,21,15,"Medieval Europe Tour","Historical exploration of Europe's best preserved medieval towns and castles","2025-08-10","2025-08-22",12,2900.00,14,"A",1
16,6,23,1,16,"Monaco Grand Prix VIP","Exclusive experience of the Monaco Grand Prix with premium viewing position","2025-05-25","2025-05-29",4,7500.00,4,"B+",0
17,7,10,36,17,"Galapagos Conservation Cruise","Eco-friendly cruise through the Galapagos focused on wildlife conservation","2025-09-15","2025-09-25",10,4200.00,16,"A+",1
18,8,14,28,18,"Caribbean Island Hopping","Relaxing beach vacation across multiple Caribbean islands","2025-07-15","2025-07-27",12,3800.00,8,"B",1
19,9,26,38,19,"Everest Base Camp Trek","Challenging trek to Everest Base Camp with professional mountaineering guides","2025-10-01","2025-10-17",16,3900.00,10,"B+",0
20,10,24,5,20,"Art & Architecture Europe","Cultural tour focusing on Europe's most significant artistic and architectural sites","2025-08-05","2025-08-20",15,3300.00,12,"A",1
21,1,19,34,21,"Safari & Vineyard Luxury Tour","Combination of wildlife safari and premium wine experiences in South Africa","2025-09-20","2025-09-30",10,6200.00,8,"A",0
